03/11/2023 17:54:45 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:54:53 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:01 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:09 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:16 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:24 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:31 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:39 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:46 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:55:54 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:02 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:10 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:18 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:26 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:34 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:41 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:49 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:56:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:03 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:11 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:19 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:28 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:37 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:44 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:52 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:57:59 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:07 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:14 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:22 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:40 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:49 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:58:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:04 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:11 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:18 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:26 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:34 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:42 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:50 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:59:58 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:05 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:13 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:21 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:29 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:36 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:43 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:50 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:00:57 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:01:04 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 18:01:13 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 15:09:25 - PARANÁ - 5038050-89.2021.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf4.jus.br/eproc2trf4
06/11/2023 15:15:21 - PARANÁ - 5038050-89.2021.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf4.jus.br/eproc2trf4
06/11/2023 16:49:08 - SÃO PAULO - 1047978-30.2019.8.26.0053/04 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 16:49:50 - SÃO PAULO - 1047978-30.2019.8.26.0053/05 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:09:34 - SÃO PAULO - 1051343-24.2021.8.26.0053/06 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:13:29 - SÃO PAULO - 1026139-41.2022.8.26.0053/04 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:14:23 - SÃO PAULO - 1020121-04.2022.8.26.0053/02 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:15:09 - SÃO PAULO - 0002724-12.2023.8.26.0053/03 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:16:41 - SÃO PAULO - 0016185-90.2019.8.26.0053/13 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:17:01 - SÃO PAULO - 0037760-57.2019.8.26.0053/21 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:18:32 - SÃO PAULO - 0037760-57.2019.8.26.0053/23 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:22:02 - SÃO PAULO - 0007907-71.2017.8.26.0053/03 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:22:10 - SÃO PAULO - 0007907-71.2017.8.26.0053/04 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:22:17 - SÃO PAULO - 0007907-71.2017.8.26.0053/05 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:23:07 - SÃO PAULO - 0007907-71.2017.8.26.0053/06 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:23:27 - SÃO PAULO - 0007907-71.2017.8.26.0053/11 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:23:45 - SÃO PAULO - 0007907-71.2017.8.26.0053/12 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:23:52 - SÃO PAULO - 0007907-71.2017.8.26.0053/13 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:24:30 - SÃO PAULO - 0007907-71.2017.8.26.0053/14 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:24:38 - SÃO PAULO - 0007907-71.2017.8.26.0053/15 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:24:46 - SÃO PAULO - 0007907-71.2017.8.26.0053/16 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:24:53 - SÃO PAULO - 0007907-71.2017.8.26.0053/17 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:25:01 - SÃO PAULO - 0007907-71.2017.8.26.0053/18 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:25:22 - SÃO PAULO - 0007907-71.2017.8.26.0053/19 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:25:53 - SÃO PAULO - 0007907-71.2017.8.26.0053/20 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:26:00 - SÃO PAULO - 0007907-71.2017.8.26.0053/21 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:26:39 - SÃO PAULO - 0007907-71.2017.8.26.0053/22 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:26:47 - SÃO PAULO - 0007907-71.2017.8.26.0053/23 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:26:55 - SÃO PAULO - 0007907-71.2017.8.26.0053/24 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:03 - SÃO PAULO - 0007907-71.2017.8.26.0053/25 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:11 - SÃO PAULO - 0007907-71.2017.8.26.0053/26 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:18 - SÃO PAULO - 0007907-71.2017.8.26.0053/27 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:26 - SÃO PAULO - 0007907-71.2017.8.26.0053/28 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:34 - SÃO PAULO - 0007907-71.2017.8.26.0053/29 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:27:52 - SÃO PAULO - 0007907-71.2017.8.26.0053/30 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:28:31 - SÃO PAULO - 0022890-02.2022.8.26.0053/02 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:28:38 - SÃO PAULO - 0022890-02.2022.8.26.0053/03 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:28:56 - SÃO PAULO - 0022890-02.2022.8.26.0053/04 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
06/11/2023 17:29:03 - SÃO PAULO - 0022890-02.2022.8.26.0053/05 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
