TRIBUNAL trf4 | PROCESSO ---> 5004681-31.2019.4.04.7204/SC
TRIBUNAL trf4 | PROCESSO ---> 5015194-84.2021.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5015194-84.2021.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5007903-67.2020.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5007903-67.2020.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5007839-28.2018.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5007839-28.2018.4.04.7205/SC
TRIBUNAL trf4 | PROCESSO ---> 5000487-57.2020.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000487-57.2020.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001080-23.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001080-23.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000104-45.2021.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000916-58.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000916-58.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001154-77.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001154-77.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000554-90.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000554-90.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5004848-30.2014.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5004848-30.2014.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001276-90.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001276-90.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000067-86.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5000067-86.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001546-51.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001143-92.2012.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001716-23.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5002342-08.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5002342-08.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5003561-56.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5003561-56.2019.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001129-98.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5001129-98.2018.4.04.7008/PR
TRIBUNAL trf4 | PROCESSO ---> 5009109-22.2020.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5009109-22.2020.4.04.7107/RS
TRIBUNAL trf4 | PROCESSO ---> 5073952-60.2019.4.04.7000/PR
TRIBUNAL trf4 | PROCESSO ---> 5008594-74.2021.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 5008594-74.2021.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 5000069702016.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5000069702016.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005862772022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005690722021.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5000289242023.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5000289242023.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005946782022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005946782022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300885932018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300885932018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005228812022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5005228812022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5002163782022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5002163782022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5002103082022.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300880712018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300880712018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0303228622018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0303228622018.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0301475412016.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0301475412016.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0301276822017.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0301276822017.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300763222014.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0300763222014.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0302767272017.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 0302767272017.8.24.0024/SC
TRIBUNAL trf4 | PROCESSO ---> 5002189-73.2022.4.04.7200/SC
TRIBUNAL trf4 | PROCESSO ---> 5002189-73.2022.4.04.7200/SC
TRIBUNAL trf4 | PROCESSO ---> 5000340-33.2022.4.04.7211/SC
TRIBUNAL trf4 | PROCESSO ---> 5005777-71.2020.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 5005777-71.2020.4.04.7002/PR
TRIBUNAL trf4 | PROCESSO ---> 0006872412013.8.24.0031/SC
TRIBUNAL trf4 | PROCESSO ---> 0006872412013.8.24.0031/SC
TRIBUNAL trf4 | PROCESSO ---> 5002345482019.8.24.0031/SC
TRIBUNAL trf4 | PROCESSO ---> 5002345482019.8.24.0031/SC
TRIBUNAL trf4 | PROCESSO ---> 5001165-45.2020.4.04.7211/SC
TRIBUNAL trf4 | PROCESSO ---> 5001850-52.2020.4.04.7211/SC
TRIBUNAL trf4 | PROCESSO ---> 5008946-84.2021.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5001531-50.2021.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5001531-50.2021.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5004279-89.2020.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5004279-89.2020.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5000338-94.2021.4.04.7115/RS
TRIBUNAL trf4 | PROCESSO ---> 5000338-94.2021.4.04.7115/RS
TRIBUNAL trf4 | PROCESSO ---> 5000862-94.2021.4.04.7114/RS
TRIBUNAL trf4 | PROCESSO ---> 5000997-14.2018.4.04.7211/SC
TRIBUNAL trf4 | PROCESSO ---> 5008594-74.2021.4.04.7002/PR 
TRIBUNAL trf4 | PROCESSO ---> 5008594-74.2021.4.04.7002/PR 
TRIBUNAL trf4 | PROCESSO ---> 5000069702016.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5000069702016.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005862772022.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5005690722021.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5000289242023.8.24.0024/SC 
TRIBUNAL trf4 | PROCESSO ---> 5000289242023.8.24.0024/SC 
